descriptio,flood_cd,perimeter,Shape_Length,Shape_Area
Floodway,200.000000000000000,344.60653,0.004656314499097,0.000000258831620
Floodway,200.000000000000000,120.42241,0.001637674161833,0.000000038434593
Floodway,200.000000000000000,10.98911,0.000139104209788,0.000000001006672
Floodway,200.000000000000000,26.75454,0.000282077291983,0.000000003704107
Flood Fringe,100.000000000000000,1887.03179,0.022821124197074,0.000003463126288
Floodway,200.000000000000000,113.20114,0.001276543941519,0.000000024647455
Flood Fringe,100.000000000000000,null,0.006121796016921,0.000000623387934
Normal River Channel,500.000000000000000,1517.63448,0.017413782229760,0.000004083267301
Flood Fringe,100.000000000000000,593.34305,0.006365429109829,0.000001022869763
Flood Fringe,100.000000000000000,null,0.002516390611290,0.000000092842099
Flood Fringe,100.000000000000000,498.81937,0.005589084994613,0.000000524249875
Flood Fringe,100.000000000000000,10273.8828,0.110647694662476,0.000064606788730
Flood Fringe,100.000000000000000,445.18599,0.004624618991690,0.000000525650625
Normal River Channel,500.000000000000000,268.94101,0.002837929036376,0.000000105589252
Normal River Channel,500.000000000000000,508.62091,0.006546256601362,0.000001455440108
Floodway,200.000000000000000,9348.90353,0.100164150254546,0.000037749997136
Flood Fringe,100.000000000000000,null,0.001019797943247,0.000000025468272
Flood Fringe,100.000000000000000,53.98107,0.000719064810483,0.000000000587356
Flood Fringe,100.000000000000000,null,0.003550101922814,0.000000231921284
Floodway,200.000000000000000,32.44772,0.000405496220731,0.000000007432202
Floodway,200.000000000000000,65.50711,0.000833664110700,0.000000026813389
Flood Fringe,100.000000000000000,null,0.005154719561198,0.000000488539090
Flood Fringe,100.000000000000000,null,0.004129163294501,0.000000848096989
Floodplain,400.000000000000000,20.26174,0.000279047172881,0.000000000461029
Flood Fringe,100.000000000000000,null,0.004464807716706,0.000000182194203
Flood Fringe,100.000000000000000,828.53295,0.009123581062068,0.000004201667434
